scenario,metric,metric_label,decoder1,decoder2,p_raw,p_bonf,significant_0.01
scenario4,exc_fdr_at_max_f1,Exact FDR,bardensr,nn,5.540569523732053e-05,0.0005540569523732053,True
scenario4,exc_fdr_at_max_f1,Exact FDR,bardensr,scaled,0.0,0.0,True
scenario4,exc_fdr_at_max_f1,Exact FDR,cosine-np,deepcell,0.0,0.0,True
scenario4,exc_fdr_at_max_f1,Exact FDR,cosine-np,nn,2.2622584849862903e-07,2.2622584849862903e-06,True
scenario4,exc_fdr_at_max_f1,Exact FDR,cosine-np,scaled,0.16640904770950993,1.0,False
scenario4,exc_fdr_at_max_f1,Exact FDR,deepcell,nn,8.559819519859957e-14,8.559819519859957e-13,True
scenario4,exc_fdr_at_max_f1,Exact FDR,deepcell,scaled,0.0,0.0,True
scenario4,exc_fdr_at_max_f1,Exact FDR,nn,scaled,5.029310301551959e-14,5.029310301551959e-13,True
scenario4,exc_max_f1,Exact F1,bardensr,cosine-np,0.0,0.0,True
scenario4,exc_max_f1,Exact F1,bardensr,deepcell,7.582252306237436e-05,0.0007582252306237436,True
scenario4,exc_max_f1,Exact F1,bardensr,nn,7.582252306237436e-05,0.0007582252306237436,True
scenario4,exc_max_f1,Exact F1,bardensr,scaled,0.0,0.0,True
scenario4,exc_max_f1,Exact F1,cosine-np,deepcell,0.0,0.0,True
scenario4,exc_max_f1,Exact F1,cosine-np,nn,1.6030616833973e-09,1.6030616833973e-08,True
scenario4,exc_max_f1,Exact F1,cosine-np,scaled,0.9709294963661996,1.0,False
scenario4,exc_max_f1,Exact F1,deepcell,nn,1.1102230246251565e-16,1.1102230246251565e-15,True
scenario4,exc_max_f1,Exact F1,deepcell,scaled,0.0,0.0,True
scenario4,exc_max_f1,Exact F1,nn,scaled,2.1986190645861825e-11,2.1986190645861825e-10,True
scenario4,max_r,Max Pearson r,bardensr,cosine-np,1.1951810652277572e-09,1.1951810652277572e-08,True
scenario4,max_r,Max Pearson r,bardensr,deepcell,8.341216606311264e-12,8.341216606311264e-11,True
scenario4,max_r,Max Pearson r,bardensr,nn,0.8990782760559263,1.0,False
scenario4,max_r,Max Pearson r,bardensr,scaled,0.0,0.0,True
scenario4,max_r,Max Pearson r,cosine-np,deepcell,0.0,0.0,True
scenario4,max_r,Max Pearson r,cosine-np,nn,2.2286616996325392e-12,2.2286616996325392e-11,True
scenario4,max_r,Max Pearson r,cosine-np,scaled,0.0003739884145286254,0.003739884145286254,True
scenario4,max_r,Max Pearson r,deepcell,nn,3.822856919910578e-09,3.822856919910578e-08,True
scenario4,max_r,Max Pearson r,deepcell,scaled,0.0,0.0,True
scenario4,max_r,Max Pearson r,nn,scaled,0.0,0.0,True
scenario4,max_rho,Max Spearman rho,bardensr,cosine-np,2.6734270353045986e-10,2.6734270353045986e-09,True
scenario4,max_rho,Max Spearman rho,bardensr,deepcell,1.59476876149256e-11,1.5947687614925599e-10,True
scenario4,max_rho,Max Spearman rho,bardensr,nn,0.9530207470844513,1.0,False
scenario4,max_rho,Max Spearman rho,bardensr,scaled,0.0,0.0,True
scenario4,max_rho,Max Spearman rho,cosine-np,deepcell,0.0,0.0,True
scenario4,max_rho,Max Spearman rho,cosine-np,nn,1.5943912856641873e-12,1.5943912856641873e-11,True
scenario4,max_rho,Max Spearman rho,cosine-np,scaled,0.0011350556038962623,0.011350556038962623,False
scenario4,max_rho,Max Spearman rho,deepcell,nn,2.145926325525238e-09,2.145926325525238e-08,True
